Z75	शून्य सात पाँच
7174	सात एक सात चार
315	तीन एक पाँच
34951	तीन चार नौ पाँच एक
6Z91Z	छः शून्य नौ एक शून्य
26	दो छः
62	छः दो
3O9	तीन शून्य नौ
84	आठ चार
3	तीन
4	चार
6	छः
2	दो
1872	एक आठ सात दो
7O6	सात शून्य छः
4Z92ZZ4	चार शून्य नौ दो शून्य शून्य चार
7613783	सात छः एक तीन सात आठ तीन
5	पाँच
891768O	आठ नौ एक सात छः आठ शून्य
7ZZ	सात शून्य शून्य
233	दो तीन तीन
872ZZ	आठ सात दो शून्य शून्य
9783	नौ सात आठ तीन
O	शून्य
2273969	दो दो सात तीन नौ छः नौ
Z	शून्य
Z3	शून्य तीन
8Z	आठ शून्य
26	दो छः
8OO3882	आठ शून्य शून्य तीन आठ आठ दो
1O	एक शून्य
Z	शून्य
6	छः
O8842	शून्य आठ आठ चार दो
Z1Z7989	शून्य एक शून्य सात नौ आठ नौ
553	पाँच पाँच तीन
45O	चार पाँच शून्य
5144828	पाँच एक चार चार आठ दो आठ
O13	शून्य एक तीन
7464	सात चार छः चार
Z475	शून्य चार सात पाँच
O8127	शून्य आठ एक दो सात
16794O5	एक छः सात नौ चार शून्य पाँच
5611	पाँच छः एक एक
8	आठ
7	सात
3	तीन
67	छः सात
7	सात
43854Z6	चार तीन आठ पाँच चार शून्य छः
9	नौ
2O	दो शून्य
9	नौ
Z86	शून्य आठ छः
63694	छः तीन छः नौ चार
93Z8Z	नौ तीन शून्य आठ शून्य
OO1O714	शून्य शून्य एक शून्य सात एक चार
9O9O	नौ शून्य नौ शून्य
46366	चार छः तीन छः छः
2	दो
8	आठ
O	शून्य
887Z	आठ आठ सात शून्य
Z89	शून्य आठ नौ
67846Z2	छः सात आठ चार छः शून्य दो
21761	दो एक सात छः एक
O341	शून्य तीन चार एक
1	एक
323	तीन दो तीन
88O	आठ आठ शून्य
ZZ483	शून्य शून्य चार आठ तीन
4	चार
5	पाँच
O727	शून्य सात दो सात
98O	नौ आठ शून्य
11	एक एक
3	तीन
6O8	छः शून्य आठ
9O	नौ शून्य
4	चार
6	छः
2	दो
1738	एक सात तीन आठ
74514ZZ	सात चार पाँच एक चार शून्य शून्य
77	सात सात
81	आठ एक
33O62	तीन तीन शून्य छः दो
5	पाँच
ZZ56Z3Z	शून्य शून्य पाँच छः शून्य तीन शून्य
131	एक तीन एक
6851229	छः आठ पाँच एक दो दो नौ
22758	दो दो सात पाँच आठ
9242	नौ दो चार दो
O	शून्य
O47	शून्य चार सात
73538	सात तीन पाँच तीन आठ
O786369	शून्य सात आठ छः तीन छः नौ
4O93	चार शून्य नौ तीन
8711435	आठ सात एक एक चार तीन पाँच
741	सात चार एक
Z	शून्य
2836	दो आठ तीन छः
8Z	आठ शून्य
26	दो छः
1O	एक शून्य
Z	शून्य
6	छः
4859928	चार आठ पाँच नौ नौ दो आठ
45O	चार पाँच शून्य
6625	छः छः दो पाँच
55O69	पाँच पाँच शून्य छः नौ
Z525919	शून्य पाँच दो पाँच नौ एक नौ
3Z71Z12	तीन शून्य सात एक शून्य एक दो
577O1	पाँच सात सात शून्य एक
94	नौ चार
434OO	चार तीन चार शून्य शून्य
8	आठ
52423	पाँच दो चार दो तीन
7	सात
3	तीन
67	छः सात
7	सात
1OO1	एक शून्य शून्य एक
3765	तीन सात छः पाँच
9	नौ
2657Z	दो छः पाँच सात शून्य
9	नौ
4Z1547Z	चार शून्य एक पाँच चार सात शून्य
5Z	पाँच शून्य
Z9Z	शून्य नौ शून्य
O979618	शून्य नौ सात नौ छः एक आठ
7963	सात नौ छः तीन
53	पाँच तीन
2	दो
8	आठ
98168	नौ आठ एक छः आठ
O	शून्य
31Z	तीन एक शून्य
1	एक
2ZZ1	दो शून्य शून्य एक
O5O59O8	शून्य पाँच शून्य पाँच नौ शून्य आठ
O97O	शून्य नौ सात शून्य
OO854	शून्य शून्य आठ पाँच चार
4	चार
5	पाँच
56Z	पाँच छः शून्य
ZZ7	शून्य शून्य सात
4195	चार एक नौ पाँच
9912	नौ नौ एक दो
91	नौ एक
261658O	दो छः एक छः पाँच आठ शून्य
3	तीन
4	चार
6	छः
2	दो
77	सात सात
64O6O	छः चार शून्य छः शून्य
71	सात एक
8Z93Z	आठ शून्य नौ तीन शून्य
5	पाँच
32757	तीन दो सात पाँच सात
762	सात छः दो
Z984	शून्य नौ आठ चार
24	दो चार
686	छः आठ छः
3825377	तीन आठ दो पाँच तीन सात सात
9ZZ6948	नौ शून्य शून्य छः नौ चार आठ
O	शून्य
3Z8	तीन शून्य आठ
92	नौ दो
ZZ339	शून्य शून्य तीन तीन नौ
47OO3	चार सात शून्य शून्य तीन
192O151	एक नौ दो शून्य एक पाँच एक
Z	शून्य
969OO	नौ छः नौ शून्य शून्य
5Z5522Z	पाँच शून्य पाँच पाँच दो दो शून्य
1185O73	एक एक आठ पाँच शून्य सात तीन
521	पाँच दो एक
7O71	सात शून्य सात एक
Z	शून्य
6	छः
8187	आठ एक आठ सात
42O3817	चार दो शून्य तीन आठ एक सात
547	पाँच चार सात
3982979	तीन नौ आठ दो नौ सात नौ
1Z4	एक शून्य चार
35O	तीन पाँच शून्य
26O1	दो छः शून्य एक
44	चार चार
8O44629	आठ शून्य चार चार छः दो नौ
Z22	शून्य दो दो
68343	छः आठ तीन चार तीन
8	आठ
7	सात
89	आठ नौ
3	तीन
O2	शून्य दो
79665	सात नौ छः छः पाँच
67	छः सात
7	सात
21O4O94	दो एक शून्य चार शून्य नौ चार
9	नौ
51272	पाँच एक दो सात दो
9	नौ
Z6328	शून्य छः तीन दो आठ
1Z	एक शून्य
O23O	शून्य दो तीन शून्य
499	चार नौ नौ
6178	छः एक सात आठ
2	दो
8	आठ
8Z45	आठ शून्य चार पाँच
O	शून्य
14	एक चार
1	एक
7O18	सात शून्य एक आठ
62816	छः दो आठ एक छः
1473596	एक चार सात तीन पाँच नौ छः
19	एक नौ
4	चार
862	आठ छः दो
54465	पाँच चार चार छः पाँच
5	पाँच
6763OO3	छः सात छः तीन शून्य शून्य तीन
9972O	नौ नौ सात दो शून्य
O788458	शून्य सात आठ आठ चार पाँच आठ
O27	शून्य दो सात
8348	आठ तीन चार आठ
7914268	सात नौ एक चार दो छः आठ
Z9	शून्य नौ
3	तीन
71Z38	सात एक शून्य तीन आठ
85	आठ पाँच
4	चार
752	सात पाँच दो
6	छः
2	दो
23	दो तीन
933	नौ तीन तीन
4O3O	चार शून्य तीन शून्य
5	पाँच
8292	आठ दो नौ दो
9433487	नौ चार तीन तीन चार आठ सात
18OOO	एक आठ शून्य शून्य शून्य
49O9	चार नौ शून्य नौ
Z4	शून्य चार
22	दो दो
795	सात नौ पाँच
Z37Z8	शून्य तीन सात शून्य आठ
558Z	पाँच पाँच आठ शून्य
O	शून्य
66436O5	छः छः चार तीन छः शून्य पाँच
Z	शून्य
94153	नौ चार एक पाँच तीन
32	तीन दो
Z11	शून्य एक एक
Z	शून्य
6	छः
47Z74	चार सात शून्य सात चार
31O4	तीन एक शून्य चार
11985	एक एक नौ आठ पाँच
165	एक छः पाँच
54Z93	पाँच चार शून्य नौ तीन
O6	शून्य छः
456Z	चार पाँच छः शून्य
21356	दो एक तीन पाँच छः
325	तीन दो पाँच
8	आठ
7	सात
3	तीन
7	सात
25	दो पाँच
55	पाँच पाँच
O87	शून्य आठ सात
5241577	पाँच दो चार एक पाँच सात सात
9	नौ
9	नौ
Z76	शून्य सात छः
O67	शून्य छः सात
86928Z5	आठ छः नौ दो आठ शून्य पाँच
61	छः एक
374O	तीन सात चार शून्य
3639612	तीन छः तीन नौ छः एक दो
2	दो
8	आठ
9517	नौ पाँच एक सात
O	शून्य
44ZZ	चार चार शून्य शून्य
2212775	दो दो एक दो सात सात पाँच
69O72OO	छः नौ शून्य सात दो शून्य शून्य
5O964	पाँच शून्य नौ छः चार
269	दो छः नौ
257	दो पाँच सात
1	एक
3OO1826	तीन शून्य शून्य एक आठ दो छः
9883	नौ आठ आठ तीन
9Z22492	नौ शून्य दो दो चार नौ दो
19	एक नौ
4	चार
3737Z	तीन सात तीन सात शून्य
5	पाँच
4O75O65	चार शून्य सात पाँच शून्य छः पाँच
3141786	तीन एक चार एक सात आठ छः
35881	तीन पाँच आठ आठ एक
6Z45	छः शून्य चार पाँच
84	आठ चार
3	तीन
9O	नौ शून्य
4	चार
6	छः
Z827	शून्य आठ दो सात
2	दो
748	सात चार आठ
OO21	शून्य शून्य दो एक
2856Z	दो आठ पाँच छः शून्य
435O	चार तीन पाँच शून्य
1475457	एक चार सात पाँच चार पाँच सात
5	पाँच
8384	आठ तीन आठ चार
671	छः सात एक
O68	शून्य छः आठ
ZZ566	शून्य शून्य पाँच छः छः
9966	नौ नौ छः छः
O	शून्य
48O	चार आठ शून्य
62543	छः दो पाँच चार तीन
738	सात तीन आठ
Z	शून्य
18O49	एक आठ शून्य चार नौ
91646	नौ एक छः चार छः
1O	एक शून्य
Z	शून्य
6	छः
51O2O13	पाँच एक शून्य दो शून्य एक तीन
Z1	शून्य एक
2212	दो दो एक दो
1Z4	एक शून्य चार
Z12895Z	शून्य एक दो आठ नौ पाँच शून्य
44	चार चार
7613	सात छः एक तीन
51	पाँच एक
7O	सात शून्य
63O7	छः तीन शून्य सात
55589	पाँच पाँच पाँच आठ नौ
O3O8	शून्य तीन शून्य आठ
8	आठ
7	सात
3	तीन
233934Z	दो तीन तीन नौ तीन चार शून्य
7	सात
O8O47O3	शून्य आठ शून्य चार सात शून्य तीन
9	नौ
OO5	शून्य शून्य पाँच
9	नौ
7442417	सात चार चार दो चार एक सात
Z7695	शून्य सात छः नौ पाँच
632	छः तीन दो
8153611	आठ एक पाँच तीन छः एक एक
4O	चार शून्य
86787	आठ छः सात आठ सात
53	पाँच तीन
2	दो
8	आठ
872	आठ सात दो
O	शून्य
33	तीन तीन
586	पाँच आठ छः
O2O6672	शून्य दो शून्य छः छः सात दो
O3O5351	शून्य तीन शून्य पाँच तीन पाँच एक
98328	नौ आठ तीन दो आठ
1	एक
ZZ	शून्य शून्य
2Z2996Z	दो शून्य दो नौ नौ छः शून्य
4ZZ3	चार शून्य शून्य तीन
36512	तीन छः पाँच एक दो
72911	सात दो नौ एक एक
4	चार
2467	दो चार छः सात
5	पाँच
699	छः नौ नौ
84	आठ चार
31Z6	तीन एक शून्य छः
3	तीन
Z635221	शून्य छः तीन पाँच दो दो एक
4	चार
92336Z8	नौ दो तीन तीन छः शून्य आठ
6	छः
2	दो
81	आठ एक
5	पाँच
O9	शून्य नौ
68524	छः आठ पाँच दो चार
Z13	शून्य एक तीन
16	एक छः
2827	दो आठ दो सात
O	शून्य
4O2	चार शून्य दो
437	चार तीन सात
3Z377	तीन शून्य तीन सात सात
15O	एक पाँच शून्य
9O69	नौ शून्य छः नौ
5756886	पाँच सात पाँच छः आठ आठ छः
Z	शून्य
8O7497O	आठ शून्य सात चार नौ सात शून्य
96578	नौ छः पाँच सात आठ
Z	शून्य
6	छः
75	सात पाँच
764	सात छः चार
79	सात नौ
771Z5	सात सात एक शून्य पाँच
643	छः चार तीन
3O484O1	तीन शून्य चार आठ चार शून्य एक
56Z4	पाँच छः शून्य चार
8	आठ
Z42Z1	शून्य चार दो शून्य एक
7	सात
89	आठ नौ
3	तीन
44179	चार चार एक सात नौ
ZZ93Z8Z	शून्य शून्य नौ तीन शून्य आठ शून्य
7	सात
117O	एक एक सात शून्य
25	दो पाँच
9	नौ
9	नौ
876	आठ सात छः
6238	छः दो तीन आठ
5Z	पाँच शून्य
61	छः एक
O78	शून्य सात आठ
926	नौ दो छः
25595	दो पाँच पाँच नौ पाँच
5981	पाँच नौ आठ एक
2	दो
8	आठ
1497Z	एक चार नौ सात शून्य
O	शून्य
4379ZZ7	चार तीन सात नौ शून्य शून्य सात
OO85	शून्य शून्य आठ पाँच
346O	तीन चार छः शून्य
1893945	एक आठ नौ तीन नौ चार पाँच
97	नौ सात
49ZZ	चार नौ शून्य शून्य
336	तीन तीन छः
1	एक
5568	पाँच पाँच छः आठ
O7	शून्य सात
4	चार
37675	तीन सात छः सात पाँच
4Z125	चार शून्य एक दो पाँच
3Z4ZZ	तीन शून्य चार शून्य शून्य
5	पाँच
O488O16	शून्य चार आठ आठ शून्य एक छः
Z812679	शून्य आठ एक दो छः सात नौ
397	तीन नौ सात
431Z	चार तीन एक शून्य
Z937	शून्य नौ तीन सात
3	तीन
5Z	पाँच शून्य
914	नौ एक चार
6698272	छः छः नौ आठ दो सात दो
4	चार
6	छः
11O68	एक एक शून्य छः आठ
2	दो
15731	एक पाँच सात तीन एक
Z8819	शून्य आठ आठ एक नौ
7224532	सात दो दो चार पाँच तीन दो
5O	पाँच शून्य
613	छः एक तीन
5	पाँच
779	सात सात नौ
862Z	आठ छः दो शून्य
6ZZ6544	छः शून्य शून्य छः पाँच चार चार
Z26	शून्य दो छः
O	शून्य
387	तीन आठ सात
951O	नौ पाँच एक शून्य
53Z4713	पाँच तीन शून्य चार सात एक तीन
746Z	सात चार छः शून्य
92	नौ दो
29	दो नौ
Z	शून्य
18364	एक आठ तीन छः चार
1Z34	एक शून्य तीन चार
864Z	आठ छः चार शून्य
22O9O87	दो दो शून्य नौ शून्य आठ सात
Z	शून्य
6	छः
7Z2183Z	सात शून्य दो एक आठ तीन शून्य
17192	एक सात एक नौ दो
9142OO8	नौ एक चार दो शून्य शून्य आठ
2515	दो पाँच एक पाँच
Z577Z74	शून्य पाँच सात सात शून्य सात चार
44	चार चार
8Z3	आठ शून्य तीन
27385	दो सात तीन आठ पाँच
OO	शून्य शून्य
6984	छः नौ आठ चार
8	आठ
7	सात
89	आठ नौ
3	तीन
7	सात
416	चार एक छः
7O78523	सात शून्य सात आठ पाँच दो तीन
O63O9	शून्य छः तीन शून्य नौ
6O5	छः शून्य पाँच
9	नौ
821	आठ दो एक
9	नौ
5Z	पाँच शून्य
2	दो
8	आठ
O	शून्य
28	दो आठ
O59O1	शून्य पाँच नौ शून्य एक
1	एक
48463	चार आठ चार छः तीन
1969	एक नौ छः नौ
434O	चार तीन चार शून्य
773Z	सात सात तीन शून्य
88	आठ आठ
4	चार
6O523	छः शून्य पाँच दो तीन
1132	एक एक तीन दो
5	पाँच
36	तीन छः
9OO4954	नौ शून्य शून्य चार नौ पाँच चार
221Z	दो दो एक शून्य
23O	दो तीन शून्य
9796	नौ सात नौ छः
62	छः दो
559	पाँच पाँच नौ
3	तीन
85	आठ पाँच
4	चार
6	छः
1Z34164	एक शून्य तीन चार एक छः चार
O975536	शून्य नौ सात पाँच पाँच तीन छः
2	दो
O5768OO	शून्य पाँच सात छः आठ शून्य शून्य
77	सात सात
9O33	नौ शून्य तीन तीन
5	पाँच
39	तीन नौ
Z472Z	शून्य चार सात दो शून्य
7Z5Z	सात शून्य पाँच शून्य
116	एक एक छः
756	सात पाँच छः
591	पाँच नौ एक
2Z6ZZ	दो शून्य छः शून्य शून्य
8694Z	आठ छः नौ चार शून्य
98	नौ आठ
O	शून्य
87Z	आठ सात शून्य
56Z71	पाँच छः शून्य सात एक
29	दो नौ
Z	शून्य
Z5ZZ2	शून्य पाँच शून्य शून्य दो
6512	छः पाँच एक दो
1221735	एक दो दो एक सात तीन पाँच
Z99	शून्य नौ नौ
Z	शून्य
6	छः
427O674	चार दो सात शून्य छः सात चार
Z9Z682Z	शून्य नौ शून्य छः आठ दो शून्य
6O4	छः शून्य चार
O915445	शून्य नौ एक पाँच चार चार पाँच
OOO2493	शून्य शून्य शून्य दो चार नौ तीन
378	तीन सात आठ
3141	तीन एक चार एक
574O7	पाँच सात चार शून्य सात
63	छः तीन
8	आठ
7	सात
3	तीन
ZZ338	शून्य शून्य तीन तीन आठ
7	सात
O37O	शून्य तीन सात शून्य
9	नौ
2O	दो शून्य
9	नौ
313	तीन एक तीन
7244582	सात दो चार चार पाँच आठ दो
46762	चार छः सात छः दो
4Z	चार शून्य
2	दो
9Z14798	नौ शून्य एक चार सात नौ आठ
8	आठ
O	शून्य
53286	पाँच तीन दो आठ छः
8O1	आठ शून्य एक
1	एक
ZZ	शून्य शून्य
51773	पाँच एक सात सात तीन
3O1O9O4	तीन शून्य एक शून्य नौ शून्य चार
3771O	तीन सात सात एक शून्य
Z6	शून्य छः
4	चार
4Z66	चार शून्य छः छः
356O623	तीन पाँच छः शून्य छः दो तीन
5	पाँच
2721364	दो सात दो एक तीन छः चार
11	एक एक
7414	सात चार एक चार
94399	नौ चार तीन नौ नौ
3	तीन
4	चार
6	छः
44O24	चार चार शून्य दो चार
2	दो
23	दो तीन
8831	आठ आठ तीन एक
263	दो छः तीन
O85	शून्य आठ पाँच
O5818	शून्य पाँच आठ एक आठ
5	पाँच
65	छः पाँच
38681	तीन आठ छः आठ एक
782Z845	सात आठ दो शून्य आठ चार पाँच
Z4	शून्य चार
464	चार छः चार
1156	एक एक पाँच छः
75484	सात पाँच चार आठ चार
89O	आठ नौ शून्य
497Z5	चार नौ सात शून्य पाँच
O	शून्य
O9766	शून्य नौ सात छः छः
91655OO	नौ एक छः पाँच पाँच शून्य शून्य
Z	शून्य
261	दो छः एक
59	पाँच नौ
8OO8	आठ शून्य शून्य आठ
32	तीन दो
1Z955ZZ	एक शून्य नौ पाँच पाँच शून्य शून्य
Z	शून्य
87	आठ सात
6	छः
O3O	शून्य तीन शून्य
6Z83443	छः शून्य आठ तीन चार चार तीन
69O7O7O	छः नौ शून्य सात शून्य सात शून्य
93	नौ तीन
Z718	शून्य सात एक आठ
579	पाँच सात नौ
28Z	दो आठ शून्य
7394	सात तीन नौ चार
8	आठ
7	सात
596O137	पाँच नौ छः शून्य एक तीन सात
3	तीन
67	छः सात
7	सात
4O5	चार शून्य पाँच
9	नौ
68548	छः आठ पाँच चार आठ
9	नौ
1989	एक नौ आठ नौ
169	एक छः नौ
Z1Z3572	शून्य एक शून्य तीन पाँच सात दो
2	दो
OOO6	शून्य शून्य शून्य छः
93O3	नौ तीन शून्य तीन
8	आठ
O	शून्य
9Z9	नौ शून्य नौ
78Z3	सात आठ शून्य तीन
86212	आठ छः दो एक दो
5879175	पाँच आठ सात नौ एक सात पाँच
36OO	तीन छः शून्य शून्य
7O9	सात शून्य नौ
4O82OO6	चार शून्य आठ दो शून्य शून्य छः
1	एक
684	छः आठ चार
O7O	शून्य सात शून्य
31Z5	तीन एक शून्य पाँच
88	आठ आठ
4	चार
173Z	एक सात तीन शून्य
5	पाँच
9965	नौ नौ छः पाँच
8643849	आठ छः चार तीन आठ चार नौ
34	तीन चार
65O7744	छः पाँच शून्य सात सात चार चार
7O328	सात शून्य तीन दो आठ
3	तीन
4	चार
6	छः
2	दो
4Z452	चार शून्य चार पाँच दो
7889491	सात आठ आठ नौ चार नौ एक
2747	दो सात चार सात
211	दो एक एक
3676	तीन छः सात छः
5	पाँच
39	तीन नौ
O1O29	शून्य एक शून्य दो नौ
ZZ8378Z	शून्य शून्य आठ तीन सात आठ शून्य
751	सात पाँच एक
92566	नौ दो पाँच छः छः
66Z23	छः छः शून्य दो तीन
Z13Z	शून्य एक तीन शून्य
Z7Z	शून्य सात शून्य
O	शून्य
Z63412Z	शून्य छः तीन चार एक दो शून्य
5377643	पाँच तीन सात सात छः चार तीन
289O9O4	दो आठ नौ शून्य नौ शून्य चार
9627	नौ छः दो सात
Z	शून्य
8Z59	आठ शून्य पाँच नौ
985Z3	नौ आठ पाँच शून्य तीन
2ZZ97	दो शून्य शून्य नौ सात
Z	शून्य
6	छः
675	छः सात पाँच
553	पाँच पाँच तीन
O81	शून्य आठ एक
8714	आठ सात एक चार
8O	आठ शून्य
Z1	शून्य एक
22446Z9	दो दो चार चार छः शून्य नौ
69592	छः नौ पाँच नौ दो
457	चार पाँच सात
73Z2633	सात तीन शून्य दो छः तीन तीन
8	आठ
52423	पाँच दो चार दो तीन
7	सात
3	तीन
122O3	एक दो दो शून्य तीन
58	पाँच आठ
7	सात
13	एक तीन
9	नौ
5186	पाँच एक आठ छः
9	नौ
O1	शून्य एक
4O	चार शून्य
187	एक आठ सात
4Z	चार शून्य
2	दो
8	आठ
O	शून्य
958O472	नौ पाँच आठ शून्य चार सात दो
O5	शून्य पाँच
15626	एक पाँच छः दो छः
41248	चार एक दो चार आठ
928	नौ दो आठ
1	एक
Z897	शून्य आठ नौ सात
942	नौ चार दो
76	सात छः
4	चार
893O156	आठ नौ तीन शून्य एक पाँच छः
Z996	शून्य नौ नौ छः
5	पाँच
58378	पाँच आठ तीन सात आठ
587O7	पाँच आठ सात शून्य सात
9OO3	नौ शून्य शून्य तीन
11	एक एक
387Z6	तीन आठ सात शून्य छः
84	आठ चार
2791O	दो सात नौ एक शून्य
863Z3ZZ	आठ छः तीन शून्य तीन शून्य शून्य
3	तीन
3881	तीन आठ आठ एक
67484	छः सात चार आठ चार
4	चार
6	छः
59Z7	पाँच नौ शून्य सात
2	दो
OO64147	शून्य शून्य छः चार एक चार सात
4Z91856	चार शून्य नौ एक आठ पाँच छः
77	सात सात
7944	सात नौ चार चार
5	पाँच
65	छः पाँच
46	चार छः
82	आठ दो
O	शून्य
4O2	चार शून्य दो
1376	एक तीन सात छः
2536231	दो पाँच तीन छः दो तीन एक
786	सात आठ छः
Z	शून्य
135	एक तीन पाँच
9519298	नौ पाँच एक नौ दो नौ आठ
1Z521Z6	एक शून्य पाँच दो एक शून्य छः
7543	सात पाँच चार तीन
2696O	दो छः नौ छः शून्य
Z7335	शून्य सात तीन तीन पाँच
239	दो तीन नौ
Z	शून्य
6	छः
17	एक सात
6Z	छः शून्य
61545	छः एक पाँच चार पाँच
5934634	पाँच नौ तीन चार छः तीन चार
O53	शून्य पाँच तीन
85ZZ2Z2	आठ पाँच शून्य शून्य दो शून्य दो
O3162	शून्य तीन एक छः दो
O499	शून्य चार नौ नौ
8	आठ
7	सात
3	तीन
Z49	शून्य चार नौ
7	सात
2OO19O9	दो शून्य शून्य एक नौ शून्य नौ
364	तीन छः चार
55	पाँच पाँच
Z43	शून्य चार तीन
9	नौ
9	नौ
98Z1	नौ आठ शून्य एक
424O	चार दो चार शून्य
329725O	तीन दो नौ सात दो पाँच शून्य
66O	छः छः शून्य
2	दो
8	आठ
O	शून्य
O7322	शून्य सात तीन दो दो
33	तीन तीन
1	एक
8399	आठ तीन नौ नौ
6Z2	छः शून्य दो
4	चार
5822894	पाँच आठ दो दो आठ नौ चार
3233	तीन दो तीन तीन
Z113Z49	शून्य एक एक तीन शून्य चार नौ
26469	दो छः चार छः नौ
5	पाँच
3O41	तीन शून्य चार एक
O75	शून्य सात पाँच
636	छः तीन छः
929	नौ दो नौ
77ZZ	सात सात शून्य शून्य
53Z8Z97	पाँच तीन शून्य आठ शून्य नौ सात
3	तीन
O29O	शून्य दो नौ शून्य
8Z7Z852	आठ शून्य सात शून्य आठ पाँच दो
4	चार
6	छः
2	दो
Z2Z66Z5	शून्य दो शून्य छः छः शून्य पाँच
81	आठ एक
5	पाँच
37167	तीन सात एक छः सात
46	चार छः
24	दो चार
O	शून्य
9Z567	नौ शून्य पाँच छः सात
O715OO1	शून्य सात एक पाँच शून्य शून्य एक
48O	चार आठ शून्य
66	छः छः
Z	शून्य
7419O89	सात चार एक नौ शून्य आठ नौ
ZZZ9	शून्य शून्य शून्य नौ
1425	एक चार दो पाँच
8Z	आठ शून्य
6384423	छः तीन आठ चार चार दो तीन
34Z4	तीन चार शून्य चार
1O593	एक शून्य पाँच नौ तीन
Z	शून्य
6	छः
98616	नौ आठ छः एक छः
17854	एक सात आठ पाँच चार
44O	चार चार शून्य
58628	पाँच आठ छः दो आठ
O6	शून्य छः
Z7	शून्य सात
32Z	तीन दो शून्य
19Z3735	एक नौ शून्य तीन सात तीन पाँच
68817	छः आठ आठ एक सात
8	आठ
7	सात
3	तीन
269572O	दो छः नौ पाँच सात दो शून्य
7	सात
25	दो पाँच
9214	नौ दो एक चार
4887	चार आठ आठ सात
9	नौ
47611	चार सात छः एक एक
9	नौ
59827	पाँच नौ आठ दो सात
915	नौ एक पाँच
Z64	शून्य छः चार
8783622	आठ सात आठ तीन छः दो दो
1Z	एक शून्य
OO8	शून्य शून्य आठ
75184	सात पाँच एक आठ चार
5553	पाँच पाँच पाँच तीन
2	दो
8	आठ
O	शून्य
24O	दो चार शून्य
74	सात चार
72	सात दो
285O641	दो आठ पाँच शून्य छः चार एक
OO71O	शून्य शून्य सात एक शून्य
O29748O	शून्य दो नौ सात चार आठ शून्य
347	तीन चार सात
1	एक
857	आठ पाँच सात
Z6	शून्य छः
4	चार
7O55	सात शून्य पाँच पाँच
232O	दो तीन दो शून्य
58Z43	पाँच आठ शून्य चार तीन
29O7	दो नौ शून्य सात
5	पाँच
O35	शून्य तीन पाँच
27267	दो सात दो छः सात
4O48938	चार शून्य चार आठ नौ तीन आठ
86	आठ छः
864472Z	आठ छः चार चार सात दो शून्य
69Z8	छः नौ शून्य आठ
91	नौ एक
12Z1	एक दो शून्य एक
Z1936	शून्य एक नौ तीन छः
4Z96Z	चार शून्य नौ छः शून्य
3	तीन
56	पाँच छः
4	चार
6	छः
2	दो
653Z2	छः पाँच तीन शून्य दो
81	आठ एक
115	एक एक पाँच
56	पाँच छः
5	पाँच
Z6	शून्य छः
39	तीन नौ
731	सात तीन एक
9Z76226	नौ शून्य सात छः दो दो छः
5ZZ51	पाँच शून्य शून्य पाँच एक
9523916	नौ पाँच दो तीन नौ एक छः
77Z	सात सात शून्य
9989252	नौ नौ आठ नौ दो पाँच दो
O354595	शून्य तीन पाँच चार पाँच नौ पाँच
46Z4	चार छः शून्य चार
37	तीन सात
O	शून्य
8O14O88	आठ शून्य एक चार शून्य आठ आठ
6833	छः आठ तीन तीन
Z	शून्य
32	तीन दो
1637	एक छः तीन सात
3O58	तीन शून्य पाँच आठ
7996O	सात नौ नौ छः शून्य
Z	शून्य
6	छः
553	पाँच पाँच तीन
25O2	दो पाँच शून्य दो
Z38	शून्य तीन आठ
4673Z	चार छः सात तीन शून्य
9884275	नौ आठ आठ चार दो सात पाँच
OO9OO	शून्य शून्य नौ शून्य शून्य
62O	छः दो शून्य
443	चार चार तीन
8	आठ
7	सात
3	तीन
17Z	एक सात शून्य
7	सात
Z592	शून्य पाँच नौ दो
78ZZ821	सात आठ शून्य शून्य आठ दो एक
9	नौ
9	नौ
1Z975	एक शून्य नौ सात पाँच
61	छः एक
2	दो
8	आठ
O	शून्य
336	तीन तीन छः
48541	चार आठ पाँच चार एक
64	छः चार
1	एक
ZZ	शून्य शून्य
12	एक दो
Z168Z	शून्य एक छः आठ शून्य
8Z22	आठ शून्य दो दो
O3O28OO	शून्य तीन शून्य दो आठ शून्य शून्य
4	चार
5	पाँच
O49	शून्य चार नौ
821Z7	आठ दो एक शून्य सात
62	छः दो
3	तीन
3873	तीन आठ सात तीन
4	चार
81O46	आठ एक शून्य चार छः
752	सात पाँच दो
6	छः
2	दो
77	सात सात
48	चार आठ
9122	नौ एक दो दो
5	पाँच
766	सात छः छः
8529Z94	आठ पाँच दो नौ शून्य नौ चार
37Z55	तीन सात शून्य पाँच पाँच
251Z4	दो पाँच एक शून्य चार
Z2Z	शून्य दो शून्य
O	शून्य
7472597	सात चार सात दो पाँच नौ सात
9215	नौ दो एक पाँच
3998414	तीन नौ नौ आठ चार एक चार
2OO	दो शून्य शून्य
86Z3Z35	आठ छः शून्य तीन शून्य तीन पाँच
Z	शून्य
O965	शून्य नौ छः पाँच
Z	शून्य
6	छः
17	एक सात
27O	दो सात शून्य
44	चार चार
1O36184	एक शून्य तीन छः एक आठ चार
78896	सात आठ आठ नौ छः
92Z	नौ दो शून्य
6726Z	छः सात दो छः शून्य
695O1	छः नौ पाँच शून्य एक
423	चार दो तीन
8	आठ
7	सात
3	तीन
9434991	नौ चार तीन चार नौ नौ एक
O2	शून्य दो
